G,1;Asakusa;A;0;0;0,2;Tawaramachi;;0;2;0,3;Inarich;;0;1;0,4;Ueno;H;0;2;0,5;Ueno-Hirokji;H&E;0;1;0,6;Suehiroch;;0;2;0,7;Kanda;;0;2;0,8;Mitsukoshimae;Z;0;1;0,9;Nihombashi;A&T;0;2;0,10;Kyobashi;;0;2;0,11;Ginza;H&M;0;1;0,12;Shimbashi;A;0;2;0,13;Toranomon;;0;2;0,14;Tameike-Sann;C&M&N;0;2;0,15;Akasaka-Mitsuke;N&Z&Y&M;0;2;0,16;Aoyama-Itchome;E&Z;0;2;0,17;Gaiemmae;;0;2;0,18;Omotesando;Z&C;0;1;0,19;Shibuya;F&Z;0;2;0,,,,,,
M,20;Ikebukuro;Y&F;0;0;0,21;Shin-otsuka;;0;3;0,22;Myogadani;;0;2;0,23;Korakuen;I&N&E;0;2;0,24;Hongo-Sanchome;E;0;2;0,25;Ochanomizu;;0;2;0,26;Awajicho;S&C;0;2;0,27;Otemachi;T&C&Z&I;0;2;0,28;Tokyo;;0;2;0,11;Ginza;G&H;0;1;0,29;Kasumigaseki;H&C;0;3;0,30;Kokkai-Gijido-mae;C&G&N;0;2;0,15;Akasaka-Mitsuke;G&Y&Z&N;0;2;0,31;Yotsuya;N;0;2;0,32;Yotsuya-Sanchome;;0;2;0,33;Shinjuku-Gyoemmae;;0;2;0,34;Shinjuku-Sanchome;F&S;0;2;0,35;Shinjuku;S&E;0;2;0,36;Nishi-Shinjuku;;0;1;0,37;Nakano-Sakaue;M&E;0;2;0,38;Shin-Nakano;;0;2;0,39;Higashi-Koenji;;0;2;0,40;Shin-Koenji;;0;2;0,41;Minami-Asagaya;;0;2;0,42;Ogikubo;;0;5;0
H,43;Kita-Senju;C;0;0;0,44;Minami-Senju;;0;3;0,45;Minowa;;0;2;0,46;Iriya;;0;2;0,4;Ueno;G;0;2;0,47;Naka-Okachimachi;G&E;0;1;0,48;Akihabara;;0;2;0,49;Kodemmacho;;0;2;0,50;Ningyocho;A;0;1;0,51;Kayabacho;T;0;3;0,52;Hatchobori;;0;1;0,53;Tsukiji;;0;3;0,54;Higashi-Ginza;A;0;1;0,11;Ginza;G&M;0;2;0,55;Hibiya;I&C&Y;0;1;0,29;Kasumigaseki;M&C;0;3;0,56;Kamiyacho;;0;2;0,57;Roppongi;E;0;3;0,58;Hiroo;;0;3;0,59;Ebisu;;0;3;0,60;Naka-Meguro;;0;3;0,,,,
T,61;Nakano;;0;0;0,62;Ochiai;;0;3;0,63;Takadanobaba;;0;3;0,64;Waseda;;0;3;0,65;Kagurazaka;;0;2;0,66;Iidabashi;N&Y&E;0;2;0,67;Kudanshita;Z&S;0;2;0,68;Takebashi;;0;2;0,27;Otemachi;M&Z&I&C;0;2;0,9;Nihombashi;G&A;0;2;0,51;Kayabacho;H;0;1;0,69;Monzen-Nakacho;E;0;3;0,70;Kiba;;0;2;0,71;Toyocho;;0;1;0,72;Minami-Sunamachi;;0;3;0,73;Nishi-Kasai;;0;3;0,74;Kasai;;0;2;0,75;Urayasu;;0;2;0,76;Minami-Gyotoku;;0;2;0,77;Gyotoku;;0;2;0,78;Myoden;;0;2;0,79;Baraki-Nakayama;;0;3;0,80;Nishi-Funabashi;;0;3;0,,
C,81;Ayase;;0;0;0,43;Kita-Senju;H;0;3;0,82;Machiya;;0;4;0,83;Nishi-Nippori;;0;2;0,84;Sendagi;;0;2;0,85;Nezu;;0;2;0,86;Yushima;;0;2;0,87;Shin-Ochanomizu;S&N;0;2;0,27;Otemachi;I&T&M&Z;0;2;0,88;Nijubashimae;;0;2;0,55;Hibiya;I&H&Y;0;1;0,29;Kasumigaseki;M&H;0;3;0,30;Kokkai-Gijido-mae;G&M&N;0;1;0,89;Akasaka;;0;2;0,90;Nogizaka;;0;2;0,18;Omotesando;Z&G;0;2;0,91;Meiji-Jingumae;F;0;2;0,92;Yoyogi-Koen;;0;2;0,93;Yoyogi-Uehara;;0;2;0,,,,,,
Y,94;Wakoshi;F;0;0;0,95;Chikatetsu-Narimasu;F;0;3;0,96;Chikatetsu-Akatsuka;F;0;2;0,97;Heiwadai;F;0;5;0,98;Hikawadai;F;0;2;0,99;Kotake-Mukaihara;F;0;2;0,100;Senkawa;F;0;2;0,101;Kanamecho;F;0;2;0,20;Ikebukuro;F&M;0;3;0,102;Higashi-Ikebukuro;;0;2;0,103;Gokokuji;;0;2;0,104;Edogawabashi;;0;3;0,66;Iidabashi;T&N&E;0;2;0,105;Ichigaya;N&S;0;3;0,106;Kojimachi;;0;2;0,107;Nagatacho;Z&N&G&M;0;1;0,108;Sakuradamon;;0;2;0,109;Yurakucho;H&C&I;0;2;0,110;Ginza-itchome;;0;2;0,111;Shintomicho;;0;1;0,112;Tsukishima;E;0;3;0,113;Toyosu;;0;2;0,114;Tatsumi;;0;2;0,115;Shin-Kiba;;0;3;0,
H,19;Shibuya;F&G;0;0;0,18;Omotesando;C&G;0;2;0,116;Aoyama-itchome;G&E;0;2;0,107;Nagatacho;Y&N&M&G;0;3;0,117;Hanzomon;;0;2;0,67;Kudanshita;T&S;0;2;0,118;Jimbocho;I&S;0;1;0,27;Otemachi;M&C&T&I;0;3;0,8;Mitsukoshimae;G;0;2;0,119;Suitengumae;;0;3;0,120;Kiyosumi-shirakawa;E;0;3;0,121;Sumiyoshi;S;0;3;0,122;Kinshicho;;0;2;0,123;Oshiage;A;0;2;0,,,,,,,,,,,
N,124;Akabane-Iwabuchi;;0;0;0,125;Shimo;;0;2;0,126;Oji-Kamiya;;0;2;0,127;Oji;;0;3;0,128;Nishigahara;;0;1;0,129;Komagome;;0;3;0,130;Hon-Komagome;;0;2;0,131;Tadaimae;;0;2;0,23;Korakuen;M&I&E;0;3;0,66;Iidabashi;E&T&Y;0;2;0,105;Ichigaya;Y&S;0;2;0,31;Yotsuya;M;0;2;0,107;Nagatacho;Y&Z&G&M;0;2;0,132;Tameike-Sanno;G&M&C;0;2;0,133;Roppongi-Itchome;;0;2;0,134;Azabu-Juban;E;0;2;0,135;Shirokane-Takanawa;I;0;2;0,136;Shirokanedai;I;0;3;0,137;Meguro;I;0;2;0,,,,,,
F,94;Wakoshi;Y;0;0;0,95;Chikatetsu-Narimasu;Y;0;3;0,96;Chikatetsu-Akatsuka;Y;0;2;0,97;Heiwadai;Y;0;3;0,98;Hikawadai;Y;0;2;0,99;Kotake-Mukaihara;Y;0;2;0,100;Senkawa;Y;0;2;0,101;Kanamecho;Y;0;2;0,20;Ikebukuro;M&Y;0;2;0,138;Zoshigaya;;0;3;0,139;Nishi-Waseda;;0;3;0,140;Higashi-Shinjuku;E;0;2;0,34;Shinjuku-Sanchome;M&S;0;2;0,141;Kitasando;;0;3;0,91;Meiji-Jingumae;C;0;2;0,19;Shibuya;Z&G;0;2;0,,,,,,,,,
